-57.872, -33.559, 88.829
-57.878, -35.559, 85.922
-57.9, -37.559, 82.913
-58.076, -38.588, 81.298
-58.214, -36.593, 98.368
-58.316, -34.596, 99.208
-58.407, -32.598, 99.555
-58.492, -30.6, 99.726
-58.572, -28.601, 99.779
-58.65, -26.603, 99.852
-58.726, -24.604, 99.877
-58.8, -22.606, 99.914
-58.872, -20.607, 99.927
-58.944, -18.608, 99.939
-59.014, -16.609, 99.25
-59.084, -14.611, 96.657
-59.154, -12.612, 93.993
-59.223, -10.613, 91.25
-59.291, -8.614, 88.423
-59.36, -6.615, 85.502
-59.428, -4.617, 82.478
-59.496, -2.618, 79.339
-59.563, -0.619, 76.07
-60.252, 0.632, 73.647
-60.349, 2.629, 95.027
-60.36, 4.629, 97.699
-60.336, 6.629, 98.534
-60.293, 8.628, 99.029
-60.237, 10.628, 99.335
-60.172, 12.627, 99.532
-60.099, 14.625, 99.603
-60.02, 16.624, 99.662
-59.938, 18.622, 97.677
-59.851, 20.62, 95.041
-59.761, 22.618, 92.329
-59.669, 24.616, 89.536
-59.574, 26.614, 86.653
-59.476, 28.611, 83.67
-59.362, 30.607, 80.578
-59.028, 32.578, 82.01
-58.484, 34.501, 84.903
-57.718, 36.347, 86.227
-56.799, 38.122, 87.422
-55.737, 39.816, 89.383
-54.548, 41.424, 90.153
-53.263, 42.955, 90.792
-51.89, 44.41, 91.714
-50.433, 45.779, 92.01
-48.909, 47.074, 89.456
-47.325, 48.294, 86.57
-45.681, 49.432, 83.585
-43.981, 50.485, 80.49
-42.233, 51.456, 77.27
-40.435, 52.331, 73.911
-38.587, 53.096, 70.391
-36.697, 53.747, 66.686
-34.759, 54.238, 62.764
-32.785, 54.552, 58.581
-30.789, 54.625, 54.076
-28.81, 54.355, 49.162
-26.962, 53.608, 43.713
-25.459, 52.31, 37.559
-24.494, 50.574, 30.1
-24.063, 48.629, 20
-23.988, 47.461, 0
-23.988, 47.461, 0
-22.708, 27.502, 0
endData
127
100
200
-57.872, -33.559, -57.872, -50.46, -58.724, -25.351, -59.576, -0.242
-59.576, -0.242, -60.286, -1.013, -60.996, -1.783, -59.387, 30.424
-59.387, 30.424, -57.778, 48.434, -23.988, 64.362, -23.988, 47.461
#PATH.JERRYIO-DATA {"appVersion":"0.8.3","format":"LemLib v0.5","gc":{"robotWidth":12,"robotHeight":12,"robotIsHolonomic":false,"showRobot":true,"uol":2.54,"pointDensity":2,"controlMagnetDistance":1.968503937007874,"fieldImage":{"displayName":"V5RC 2025 - High Stakes","signature":"V5RC 2025 - High Stakes","origin":{"__type":"built-in"}},"coordinateSystem":"VEX Gaming Positioning System"},"paths":[{"segments":[{"controls":[{"uid":"fEoMqNqztH","x":-57.87247673213161,"y":-33.558918863902555,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"MIGLtGx3yW","x":-57.87247673213161,"y":-50.45952962749252,"lock":false,"visible":true,"__type":"control"},{"uid":"c1fLILhiv3","x":-58.724322032715776,"y":-25.350916145384897,"lock":false,"visible":true,"__type":"control"},{"uid":"p6grBQEkpj","x":-59.57616733329995,"y":-0.24230266327726965,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"C6NiZ70sZF"},{"controls":[{"uid":"p6grBQEkpj","x":-59.57616733329995,"y":-0.24230266327726965,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"e00ey4I0K8","x":-60.28603841712009,"y":-1.0127494129167427,"lock":false,"visible":true,"__type":"control"},{"uid":"TiDxJwgAeJ","x":-60.99590950094023,"y":-1.7831961625562158,"lock":false,"visible":true,"__type":"control"},{"uid":"k5W8ezQHAU","x":-59.386868377614576,"y":30.424128157752822,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"KPSjaMeKKx"},{"controls":[{"uid":"k5W8ezQHAU","x":-59.386868377614576,"y":30.424128157752822,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"twqd0QJpdS","x":-57.77782725428892,"y":48.43403080165905,"lock":false,"visible":true,"__type":"control"},{"uid":"1SSKROe8D5","x":-23.987963664450213,"y":64.36164493302617,"lock":false,"visible":true,"__type":"control"},{"uid":"wU2NQ6DPl2","x":-23.987963664450213,"y":47.46103416943621,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"b6lJWxHUqL"}],"pc":{"speedLimit":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":127,"label":"127"},"step":1,"from":20,"to":100},"bentRateApplicableRange":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":1,"label":"1"},"step":0.001,"from":0,"to":0.1},"maxDecelerationRate":127},"name":"Path","uid":"re0JoVJBtX","lock":false,"visible":true}]}
